,model,option,year,odometer,fuel,price,car
1,아반떼 AD,1.6 GDI 밸류 플러스,18/02식,46374,가솔린,1300,avante
2,더 뉴 아반떼,1.6 GDi 스마트 기본형,14/05식,78255,가솔린,880,avante
3,아반떼 AD,1.6 GDI 스타일,16/12식(17년형),60873,가솔린,1199,avante
4,아반떼 AD,1.6 GDI 밸류 플러스,18/02식,46374,가솔린,1300,avante
5,아반떼 MD,M16 GDI 럭셔리,12/08식,93310,가솔린,660,avante
6,아반떼 MD,M16 GDI 탑,12/05식,71903,가솔린,760,avante
7,뉴 아반떼 XD,5DR 1.5 VVT 스포츠 고급형,03/06식,82603,가솔린,199,avante
8,더 뉴 아반떼 AD,1.6 스마트,19/05식,77227,가솔린,1460,avante
9,아반떼 (CN7),1.6 모던,21/02식,7393,가솔린,2280,avante
10,더 뉴 아반떼 AD,1.6 LPi 스마트(렌터카용),18/12식(19년형),36497,LPG(일반인 구입),1550,avante
11,더 뉴 아반떼 AD,1.6 스마트,18/12식(19년형),110165,가솔린,1250,avante
12,아반떼 AD,1.6 GDI 모던,15/11식(16년형),112268,가솔린,1100,avante
13,아반떼 AD,1.6 GDI 모던 스페셜,16/02식,28253,가솔린,1590,avante
14,아반떼 AD,1.6 터보 스포츠,16/09식(17년형),67911,가솔린,1390,avante
15,아반떼 MD,M16 GDI 프리미어,12/06식,116239,가솔린,620,avante
16,아반떼 (CN7),2.0 N,21/09식(22년형),4443,가솔린,3230,avante
17,아반떼 AD,1.6 LPI 스마트(렌터카),16/07식(17년형),173540,LPG(일반인 구입),759,avante
18,아반떼 HD,1.6 VVT S16 럭셔리,09/07식(10년형),107813,가솔린,490,avante
19,더 뉴 아반떼,1.6 GDi 스마트 기본형,14/05식,78255,가솔린,880,avante
20,더 뉴 아반떼 AD,1.6 프리미엄,18/10식(19년형),11979,가솔린,1850,avante
21,아반떼 AD,1.6 GDI 스타일,16/12식(17년형),60873,가솔린,1199,avante
22,아반떼 MD,M16 GDI 럭셔리,12/02식,50077,가솔린,780,avante
23,더 뉴 아반떼 AD,1.6 스마트,19/08식(20년형),27361,가솔린,1350,avante
24,아반떼 AD,1.6 LPI 스마트(렌터카),18/06식,91403,LPG(일반인 구입),1230,avante
25,더 뉴 아반떼,1.6 GDi 스마트 기본형,14/01식,63669,가솔린,880,avante
26,더 뉴 아반떼 AD,1.6 스마트 초이스,19/09식(20년형),29903,가솔린,1700,avante
27,아반떼 (CN7),1.6 모던,20/07식(21년형),34743,가솔린,2070,avante
28,더 뉴 아반떼 AD,1.6 스마트,19/05식,77227,가솔린,1460,avante
29,아반떼 (CN7),1.6 모던,21/02식,7393,가솔린,2280,avante
30,더 뉴 아반떼 AD,1.6 LPi 스마트(렌터카용),18/12식(19년형),36497,LPG(일반인 구입),1550,avante
31,아반떼 AD,1.6 GDI 프리미엄,18/07식,71783,가솔린,1450,avante
32,더 뉴 아반떼,1.6 GDi 스마트 기본형,15/01식,33745,가솔린,830,avante
33,더 뉴 아반떼 AD,1.6 스마트,18/12식(19년형),110165,가솔린,1250,avante
34,아반떼 XD,1.5 DOHC 디럭스 기본형,02/10식,122807,가솔린,170,avante
35,아반떼 AD,1.6 GDI 모던,15/11식(16년형),112268,가솔린,1100,avante
36,아반떼 AD,1.6 GDI 밸류 플러스,17/09식(18년형),71413,가솔린,1280,avante
37,아반떼 MD,M16 GDI 럭셔리,12/06식,97414,가솔린,700,avante
38,아반떼 MD,M16 GDI 프리미어,11/12식(12년형),122535,가솔린,790,avante
39,아반떼 HD,1.6 VVT S16 럭셔리,09/01식,68578,가솔린,430,avante
41,아반떼 MD,M16 GDI 디럭스,11/11식(12년형),85745,가솔린,520,avante
42,아반떼 AD,1.6 GDI 모던 스페셜,16/02식,28253,가솔린,1590,avante
43,아반떼 MD,M16 GDI 럭셔리,11/05식(12년형),62850,가솔린,470,avante
44,아반떼 MD,M16 GDI 럭셔리,10/10식(11년형),148884,가솔린,540,avante
