,model,option,year,odometer,fuel,price,car
1,G90,5.0 AWD 프레스티지,19/05식,88079,가솔린,6090,genesis
2,EQ900,3.8 GDI AWD 럭셔리,17/01식,124600,가솔린,3090,genesis
3,G80,3.3 GDI AWD 프리미엄 럭셔리,18/05식,172000,가솔린,2360,genesis
4,G80,3.8 GDI AWD 프레스티지,17/01식,135189,가솔린,2349,genesis
5,G80 (RG3),가솔린 2.5 터보 AWD,21/10식(22년형),8627,가솔린,6850,genesis
6,G80 (RG3),가솔린 2.5 터보 AWD,21/10식(22년형),8627,가솔린,6850,genesis
7,G70,2.0T AWD 스포츠 패키지,19/05식,63581,가솔린,3649,genesis
8,GV80,3.0 디젤 AWD,20/10식,28300,디젤,7290,genesis
9,G70,2.0T AWD 스포츠 패키지,19/05식,63581,가솔린,3649,genesis
10,더 뉴 G70,가솔린 2.0T 2WD,21/09식,16185,가솔린,4490,genesis
11,G70,2.0T 어드밴스드,18/01식,30957,가솔린,2980,genesis
12,G80,3.3 GDI AWD 럭셔리,18/03식,107747,가솔린,2550,genesis
13,GV80,3.0 디젤 AWD,20/04식,59080,디젤,6890,genesis
14,G90,3.8 럭셔리,19/01식,88700,가솔린,5299,genesis
15,G80 (RG3),가솔린 2.5 터보 AWD,20/09식(21년형),24929,가솔린,5690,genesis
16,G80,3.3 GDI 프리미엄 럭셔리,17/07식,78915,가솔린,2999,genesis
17,G80,3.3 GDI 럭셔리 스페셜,19/11식(20년형),83685,가솔린,3450,genesis
18,EQ900,3.8 GDI AWD 프리미엄 럭셔리,16/06식,56392,가솔린,3999,genesis
19,G80,3.3 GDI AWD 럭셔리,17/01식,23547,가솔린,3499,genesis
20,EQ900,3.8 GDI AWD 프리미엄 럭셔리,16/04식,106787,가솔린,3480,genesis
21,G80,3.3 GDI AWD 프리미엄 럭셔리,17/02식,45931,가솔린,3150,genesis
22,EQ900,5.0 GDI AWD 프레스티지,16/04식,101135,가솔린,3650,genesis
23,EQ900,3.8 GDI AWD 럭셔리,16/04식,94232,가솔린,2750,genesis
25,더 뉴 G70,가솔린 2.0T 2WD,22/01식,6173,가솔린,4320,genesis
26,G90,3.3 T AWD 프레스티지,19/05식,60069,가솔린,6900,genesis
27,G80,3.3 GDI AWD 럭셔리,17/02식,53000,가솔린,3050,genesis
28,EQ900,5.0 GDI AWD 프레스티지,17/05식(18년형),52443,가솔린,4400,genesis
29,EQ900,3.3 T-GDI AWD 럭셔리,16/08식,172592,가솔린,2620,genesis
30,G90,3.3 T AWD 프레스티지,19/05식,60069,가솔린,6900,genesis
31,EQ900,3.8 GDI AWD 프리미엄 럭셔리,17/12식(18년형),98318,가솔린,4300,genesis
32,EQ900,3.8 GDI AWD 럭셔리,18/06식,73661,가솔린,4250,genesis
33,EQ900,3.8 GDI AWD 프리미엄 럭셔리,17/12식(18년형),161184,가솔린,3300,genesis
34,EQ900,3.8 GDI AWD 프리미엄 럭셔리,17/12식(18년형),85267,가솔린,4550,genesis
