,model,option,year,odometer,fuel,price,car
1,그랜저 IG 하이브리드,프리미엄,19/06식,38266,가솔린+전기,2930,grandure
2,그랜저 IG,2.4 모던,19/01식,67578,가솔린,2090,grandure
3,더 뉴 그랜저 IG,2.5 프리미엄 초이스,20/02식,41245,가솔린,3130,grandure
4,그랜저 IG 하이브리드,익스클루시브 스페셜,18/02식,100997,가솔린+전기,2590,grandure
5,그랜저 IG,3.0 익스클루시브 스페셜,18/02식,110817,가솔린,1960,grandure
6,그랜저 HG,HG240 모던 컬렉션,16/06식(17년형),75378,가솔린,1590,grandure
7,더 뉴 그랜저 IG,2.5 익스클루시브,21/05식,7046,가솔린,3630,grandure
8,그랜저 IG,2.2 디젤 프리미엄 스페셜,18/01식,99143,디젤,2730,grandure
9,그랜저 IG,2.4 프리미엄,18/02식,90036,가솔린,2099,grandure
10,더 뉴 그랜저 IG 하이브리드,캘리그래피,21/04식,16249,가솔린+전기,4369,grandure
11,그랜저 IG,2.4 프리미엄,18/07식(19년형),56175,가솔린,2450,grandure
12,그랜저 IG,2.4 모던,18/04식,20970,가솔린,2290,grandure
13,그랜저 IG,2.2 디젤 프리미엄,18/02식,87107,디젤,2150,grandure
14,더 뉴 그랜저 IG 하이브리드,캘리그래피,21/05식(22년형),7055,가솔린+전기,4679,grandure
15,그랜저 IG,3.0 익스클루시브 스페셜,19/03식,137705,가솔린,1990,grandure
16,더 뉴 그랜저 IG,2.5 프리미엄 초이스,19/12식(20년형),18233,가솔린,3080,grandure
17,더 뉴 그랜저 IG 하이브리드,캘리그래피,21/08식(22년형),21721,가솔린+전기,4490,grandure
18,그랜저 HG,LPG HG300 이그제큐티브,12/09식,149166,LPG(일반인 구입),1330,grandure
19,그랜저 IG 하이브리드,프리미엄,19/06식,38266,가솔린+전기,2930,grandure
20,그랜저 IG,2.4 모던,19/01식,67578,가솔린,2090,grandure
21,그랜저 IG,3.0 모던 베이직 (렌터카),18/06식(19년형),113752,가솔린,1670,grandure
22,더 뉴 그랜저 IG,2.5 프리미엄 초이스,20/01식,20905,가솔린,2800,grandure
23,그랜저 IG,2.4 프리미엄,17/06식(18년형),134513,가솔린,1650,grandure
24,그랜저 IG,3.0 익스클루시브 스페셜,18/12식(19년형),73367,가솔린,2570,grandure
25,더 뉴 그랜저 IG 하이브리드,익스클루시브,20/01식,49152,가솔린+전기,3729,grandure
26,그랜저 IG,3.0 익스클루시브,18/04식,60743,가솔린,2400,grandure
27,더 뉴 그랜저 IG,2.5 프리미엄 초이스,20/02식,41245,가솔린,3130,grandure
28,그랜저 HG,LPG HG300 이그제큐티브,12/10식,69452,LPG(일반인 구입),1330,grandure
29,그랜저 TG,LPI Q270 모범형,06/01식,211732,LPG(일반인 구입),270,grandure
30,그랜저 IG,3.0 LPi 장애인용 익스클루시브 스페셜,17/11식(18년형),75026,LPG(일반인 구입),2530,grandure
31,그랜저 IG,3.0 프리미엄,19/04식,176545,가솔린,1699,grandure
32,그랜저 IG,3.0 익스클루시브 스페셜,19/03식,50653,가솔린,2890,grandure
33,그랜저 IG,3.0 모던 베이직 (렌터카),17/06식(18년형),41452,가솔린,1920,grandure
34,그랜저 IG,3.0 LPi 모던 (렌터카),17/03식(18년형),94745,LPG(일반인 구입),1730,grandure
36,그랜저 IG 하이브리드,익스클루시브 스페셜,19/05식,27112,가솔린+전기,3490,grandure
37,그랜저 IG,3.0 LPi 장애인용 익스클루시브 스페셜,16/12식(17년형),70803,LPG(일반인 구입),2300,grandure
38,더 뉴 그랜저 IG,3.3 익스클루시브,20/01식,30381,가솔린,3450,grandure
39,그랜저 TG,Q270 디럭스 기본형,05/10식(06년형),109600,가솔린,239,grandure
40,그랜저 HG,HG240 모던,13/01식,77406,가솔린,1360,grandure
