,model,option,year,odometer,fuel,price,car
1,싼타페 TM,디젤 2.0 2WD 익스클루시브,18/04식(19년형),65824,디젤,2530,santafe
2,싼타페 더 프라임,디젤 2.0 2WD 익스클루시브 스페셜,16/01식,59292,디젤,2140,santafe
3,싼타페 TM,가솔린 2.0T 4WD 인스퍼레이션,19/03식,58145,가솔린,3190,santafe
4,더 뉴 싼타페,디젤 2.2 2WD 프리미엄 초이스,21/05식,40177,디젤,3080,santafe
5,싼타페 TM,디젤 2.2 2WD 프레스티지,19/01식,44219,디젤,2999,santafe
6,싼타페 TM,디젤 2.0 2WD 프리미엄,20/03식,10156,디젤,2799,santafe
7,싼타페 TM,디젤 2.2 2WD 인스퍼레이션,20/03식,45003,디젤,3490,santafe
8,싼타페 더 프라임,디젤 2.0 2WD 익스클루시브 스페셜,15/06식(16년형),94135,디젤,2000,santafe
9,더 뉴 싼타페,디젤 2.2 2WD 프리미엄 초이스,21/05식,40177,디젤,3080,santafe
10,싼타페 더 프라임,디젤 2.0 2WD 익스클루시브 스페셜,16/01식,59292,디젤,2140,santafe
11,싼타페 DM,디젤(e-VGT) 2.0 4WD 익스클루시브,14/03식(15년형),126589,디젤,1550,santafe
12,싼타페 TM,디젤 2.0 2WD 익스클루시브,18/04식(19년형),65824,디젤,2530,santafe
13,싼타페 DM,디젤(e-VGT) 2.0 2WD 프리미엄,14/01식,178529,디젤,1180,santafe
14,싼타페 더 프라임,디젤 2.0 2WD 밸류 플러스,17/04식(18년형),22769,디젤,2390,santafe
15,싼타페 더 프라임,디젤 2.0 2WD 익스클루시브 스페셜,15/07식(16년형),77185,디젤,1999,santafe
16,싼타페 TM,디젤 2.0 2WD 인스퍼레이션,18/11식(19년형),97913,디젤,2830,santafe
17,더 뉴 싼타페,디젤 2.2 2WD 프레스티지,20/10식(21년형),27801,디젤,3340,santafe
18,싼타페 TM,디젤 2.0 2WD 익스클루시브 스페셜,18/09식(19년형),84762,디젤,2650,santafe
19,싼타페 TM,디젤 2.0 2WD 익스클루시브 스페셜,18/10식(19년형),11522,디젤,2990,santafe
20,싼타페 TM,디젤 2.2 4WD 프레스티지,18/09식(19년형),97122,디젤,2750,santafe
21,싼타페 TM,디젤 2.0 2WD 프리미엄,18/04식(19년형),78256,디젤,2450,santafe
22,싼타페 DM,디젤(e-VGT) 2.0 2WD 익스클루시브,14/01식,119474,디젤,1580,santafe
23,더 뉴 싼타페,디젤 2.2 2WD 프레스티지,20/08식(21년형),18041,디젤,3390,santafe
24,싼타페 DM,디젤(e-VGT) 2.0 2WD 익스클루시브,12/07식(13년형),123887,디젤,1339,santafe
25,싼타페 DM,디젤(e-VGT) 2.2 2WD 프리미엄,13/07식(14년형),154135,디젤,1220,santafe
26,싼타페 TM,가솔린 2.0T 4WD 인스퍼레이션,19/03식,58145,가솔린,3190,santafe
27,싼타페 더 프라임,디젤 2.0 4WD 1 밀리언,17/07식(18년형),65395,디젤,2590,santafe
28,싼타페 더 프라임,디젤 2.2 4WD 익스클루시브 스페셜,15/12식(16년형),61228,디젤,2210,santafe
29,싼타페 TM,디젤 2.0 4WD 프리미엄,18/11식(19년형),17948,디젤,2730,santafe
30,싼타페 TM,가솔린 2.0T 2WD 인스퍼레이션,19/06식(20년형),20007,가솔린,3530,santafe
31,싼타페 TM,디젤 2.2 2WD 익스클루시브,18/03식(19년형),91630,디젤,2650,santafe
32,싼타페 더 프라임,디젤 2.0 2WD 익스클루시브,16/02식,69209,디젤,2080,santafe
33,싼타페 TM,디젤 2.0 2WD 프리미엄,18/08식(19년형),82671,디젤,2420,santafe
34,싼타페 TM,디젤 2.0 2WD 인스퍼레이션,18/11식(19년형),97913,디젤,2830,santafe
35,싼타페 DM,디젤(e-VGT) 2.0 2WD 프리미엄,14/06식(15년형),128115,디젤,1350,santafe
37,싼타페 TM,디젤 2.2 4WD 프레스티지,18/11식(19년형),48460,디젤,9999,santafe
38,싼타페 더 프라임,디젤 2.0 2WD 프리미엄,15/07식(16년형),93453,디젤,1720,santafe
39,싼타페 TM,디젤 2.0 2WD 모던,18/04식(19년형),72254,디젤,2120,santafe
40,싼타페 TM,디젤 2.0 2WD 익스클루시브 스페셜,18/09식(19년형),84762,디젤,2650,santafe
41,싼타페 더 프라임,디젤 2.0 2WD 밸류 플러스,17/04식(18년형),22769,디젤,2390,santafe
42,싼타페 TM,디젤 2.2 4WD 프레스티지,18/09식(19년형),97122,디젤,2750,santafe
43,싼타페 TM,디젤 2.2 2WD 익스클루시브,18/03식(19년형),101163,디젤,2480,santafe
44,싼타페 더 프라임,디젤 2.0 2WD 프리미엄,18/01식,121423,디젤,1799,santafe
45,더 뉴 싼타페,디젤 2.2 2WD 프레스티지,20/10식(21년형),27801,디젤,3340,santafe
46,싼타페 DM,디젤(e-VGT) 2.0 2WD 익스클루시브,14/01식,119474,디젤,1580,santafe
47,더 뉴 싼타페,가솔린 2.5T 2WD 프레스티지,21/04식,5801,가솔린,3590,santafe
48,싼타페 CM,2WD(2.0 e-VGT) MLX 럭셔리,09/07식(10년형),100055,디젤,670,santafe
49,싼타페 TM,디젤 2.0 4WD 익스클루시브,18/11식(19년형),33345,디젤,2799,santafe
50,싼타페 더 프라임,디젤 2.2 2WD 프리미엄,16/07식,110731,디젤,1430,santafe
51,싼타페 CM,2WD(2.0 e-VGT) MLX 럭셔리,09/07식(10년형),100055,디젤,670,santafe
52,싼타페 TM,디젤 2.0 4WD 익스클루시브,18/11식(19년형),33345,디젤,2799,santafe
53,싼타페 더 프라임,디젤 2.2 2WD 프리미엄,16/07식,110731,디젤,1430,santafe
54,싼타페 더 프라임,디젤 2.0 4WD 1 밀리언,16/12식(17년형),110367,디젤,1890,santafe
55,싼타페 DM,디젤(e-VGT) 2.0 4WD 익스클루시브,14/03식(15년형),126589,디젤,1550,santafe
56,싼타페 더 프라임,디젤 2.0 2WD 익스클루시브,16/12식(17년형),55815,디젤,2070,santafe
57,싼타페 TM,가솔린 2.0T 2WD 인스퍼레이션,19/10식(20년형),48660,가솔린,3390,santafe
58,싼타페 DM,디젤(e-VGT) 2.0 2WD 프리미엄,13/10식(14년형),172264,디젤,1160,santafe
59,싼타페 TM,디젤 2.0 2WD 익스클루시브 스페셜,18/03식(19년형),107528,디젤,2420,santafe
60,싼타페 TM,가솔린 2.0T 2WD 프레스티지,19/07식(20년형),32720,가솔린,3230,santafe
61,싼타페 더 프라임,디젤 2.0 2WD 프리미엄,17/08식(18년형),50745,디젤,2050,santafe
62,싼타페 TM,디젤 2.0 4WD 프리미엄,18/11식(19년형),17948,디젤,2730,santafe
63,싼타페 더 프라임,디젤 2.2 2WD 익스클루시브 스페셜,16/04식,173490,디젤,1690,santafe
64,싼타페 TM,디젤 2.2 2WD 익스클루시브,18/03식(19년형),91630,디젤,2650,santafe
