,model,option,year,odometer,fuel,price,car
1,쏘나타 (DN8),1.6 터보 인스퍼레이션,20/01식,58463,가솔린,2730,sonata
2,쏘나타 뉴 라이즈,2.0 모던,19/01식,37145,가솔린,1950,sonata
3,쏘나타 하이브리드 (DN8),프리미엄,19/11식(20년형),53308,가솔린+전기,2620,sonata
4,LF 쏘나타,LPI 스마트,15/01식,218601,LPG(일반인 구입),650,sonata
5,쏘나타 뉴 라이즈,2.0 스타일,18/08식(19년형),56000,가솔린,1680,sonata
6,쏘나타 뉴 라이즈,LPI 스타일,18/04식(19년형),62000,LPG(일반인 구입),1650,sonata
7,YF 쏘나타,Y20 프리미어 고급형,10/02식,64375,가솔린,600,sonata
8,쏘나타 뉴 라이즈,LPI 스타일,18/07식(19년형),81000,LPG(일반인 구입),1290,sonata
9,LF 쏘나타,LPI 스마트(장애인용),14/09식(15년형),120804,LPG(일반인 구입),1029,sonata
10,쏘나타 뉴 라이즈,LPI 스타일,18/10식(19년형),71000,LPG(일반인 구입),1620,sonata
11,쏘나타 뉴 라이즈,2.0 스마트 초이스,18/08식(19년형),53344,가솔린,1730,sonata
12,쏘나타 하이브리드,2.0 프리미어,12/05식,186143,가솔린+전기,570,sonata
13,쏘나타 뉴 라이즈,2.0 프리미엄 스페셜,17/09식(18년형),37146,가솔린,2170,sonata
14,쏘나타 (DN8),1.6 터보 인스퍼레이션,20/01식,58463,가솔린,2730,sonata
15,쏘나타 뉴 라이즈,2.0 스마트 초이스,18/09식(19년형),87807,가솔린,1670,sonata
16,쏘나타 뉴 라이즈,2.0 스타일,18/04식,67261,가솔린,1590,sonata
17,쏘나타 뉴 라이즈,2.0 모던,19/01식,37145,가솔린,1950,sonata
18,쏘나타 뉴 라이즈,LPI 스타일,18/01식,119907,LPG(일반인 구입),1199,sonata
19,NF 쏘나타,F24 프리미어 고급형,04/12식(05년형),190514,가솔린,280,sonata
20,쏘나타 (DN8),1.6 터보 인스퍼레이션,20/07식,10602,가솔린,2800,sonata
21,LF 쏘나타,2.0 스타일 스페셜,16/05식(17년형),39422,가솔린,1450,sonata
22,쏘나타 뉴 라이즈,LPI 스타일,17/12식(18년형),138397,LPG(일반인 구입),1070,sonata
23,LF 쏘나타,LPI 모던,15/05식,108164,LPG(일반인 구입),840,sonata
24,쏘나타 하이브리드 (DN8),프리미엄,19/11식(20년형),53308,가솔린+전기,2620,sonata
25,LF 쏘나타,2.0 스마트,17/02식,79289,가솔린,1550,sonata
26,쏘나타 뉴 라이즈,2.0 스마트,17/03식(18년형),141637,가솔린,1190,sonata
27,쏘나타 뉴 라이즈,2.0 스마트,17/03식(18년형),97803,가솔린,1430,sonata
28,쏘나타 (DN8),2.0 LPG(렌터카용) 스타일,19/05식(20년형),75850,LPG(일반인 구입),1499,sonata
29,YF 쏘나타,Y20 럭셔리,11/03식,176074,가솔린,470,sonata
30,쏘나타 뉴 라이즈,2.0 모던,18/06식(19년형),65000,가솔린,1820,sonata
31,쏘나타 하이브리드,2.0 로열,12/05식,103633,가솔린+전기,879,sonata
32,쏘나타 뉴 라이즈,LPI 프리미엄,18/11식(19년형),57899,LPG(일반인 구입),1750,sonata
33,YF 쏘나타,Y20 프리미어,10/07식,150331,가솔린,550,sonata
34,NF 쏘나타,N20 엘레강스 스페셜 기본형,06/09식(07년형),76729,가솔린,370,sonata
35,LF 쏘나타,2.0 프리미엄,14/06식(15년형),77683,가솔린,1730,sonata
36,LF 쏘나타 하이브리드,2.0 HEV 모던,16/08식(17년형),29298,가솔린+전기,1950,sonata
37,LF 쏘나타,2.0 스마트,14/06식(15년형),204562,가솔린,699,sonata
38,쏘나타 하이브리드,2.0 로열,11/09식(12년형),119513,가솔린+전기,899,sonata
39,쏘나타 (DN8),2.0 프리미엄,19/06식(20년형),58959,가솔린,1850,sonata
40,쏘나타 (DN8),1.6 터보 프리미엄 패밀리,20/04식,36746,가솔린,2597,sonata
41,쏘나타 (DN8),2.0 프리미엄,19/11식(20년형),64554,가솔린,2170,sonata
43,쏘나타 (DN8),2.0 LPG 인스퍼레이션,19/10식(20년형),34899,LPG(일반인 구입),2680,sonata
44,쏘나타 뉴 라이즈,LPI 스타일,17/10식(18년형),80447,LPG(일반인 구입),1470,sonata
45,쏘나타 (DN8),2.0 LPG(렌터카용) 스타일,19/05식(20년형),77430,LPG(일반인 구입),1690,sonata
46,LF 쏘나타,1.7 디젤 스마트 스페셜,17/05식,86244,디젤,1750,sonata
47,쏘나타 뉴 라이즈,2.0 스마트,17/03식(18년형),97803,가솔린,1430,sonata
48,YF 쏘나타,LPI 탑,10/09식,88970,LPG(일반인 구입),690,sonata
49,쏘나타 뉴 라이즈,LPI 스타일,17/12식(18년형),138397,LPG(일반인 구입),1070,sonata
50,LF 쏘나타,2.0 스타일 스페셜,16/05식(17년형),39422,가솔린,1450,sonata
51,LF 쏘나타,1.7 디젤 스마트 스페셜,17/05식,86244,디젤,1750,sonata
52,쏘나타 뉴 라이즈,2.0 스마트,17/03식(18년형),97803,가솔린,1430,sonata
53,YF 쏘나타,LPI 탑,10/09식,88970,LPG(일반인 구입),690,sonata
54,쏘나타 뉴 라이즈,LPI 스타일,17/12식(18년형),138397,LPG(일반인 구입),1070,sonata
55,LF 쏘나타,2.0 스타일 스페셜,16/05식(17년형),39422,가솔린,1450,sonata
56,쏘나타 더 브릴리언트,LPI 스타일,12/09식(13년형),141328,LPG(일반인 구입),470,sonata
57,쏘나타 (DN8),1.6 터보 프리미엄 패밀리,20/01식,39841,가솔린,2080,sonata
58,YF 쏘나타,F24 GDI 최고급형,11/01식,100545,가솔린,670,sonata
59,쏘나타 뉴 라이즈,LPI 스타일,18/04식(19년형),196742,LPG(일반인 구입),789,sonata
60,쏘나타 (DN8),2.0 LPG(렌터카용) 스타일,19/05식(20년형),75850,LPG(일반인 구입),1499,sonata
61,NF 쏘나타 트랜스폼,N20 트랜스폼 기본형,09/01식,110989,가솔린,299,sonata
62,YF 쏘나타,Y20 프리미어 고급형,09/10식(10년형),96484,가솔린,620,sonata
63,쏘나타 (DN8),2.0 프리미엄,19/04식(20년형),58016,가솔린,2250,sonata
64,쏘나타 뉴 라이즈,2.0 프리미엄 스페셜,17/09식(18년형),37146,가솔린,2170,sonata
65,YF 쏘나타,Y20 프리미어,11/04식,137541,가솔린,490,sonata
66,LF 쏘나타,2.0 터보 익스클루시브,16/09식(17년형),41051,가솔린,1980,sonata
67,쏘나타 하이브리드,2.0 프리미어,12/04식,154572,가솔린+전기,550,sonata
68,YF 쏘나타,F20 터보 GDI 고급형,11/10식(12년형),111002,가솔린,690,sonata
69,쏘나타 (DN8),2.0 프리미엄,19/11식(20년형),64554,가솔린,2170,sonata
70,쏘나타 (DN8),1.6 터보 프리미엄 패밀리,20/04식,36746,가솔린,2597,sonata
71,LF 쏘나타,2.0 스타일 스페셜,16/04식,93334,가솔린,1230,sonata
72,LF 쏘나타,2.0 프리미엄,16/12식(17년형),129218,가솔린,1199,sonata
73,LF 쏘나타,LPI 모던,15/09식(16년형),123171,LPG(일반인 구입),1090,sonata
74,쏘나타 (DN8),2.0 프리미엄,21/03식,3473,가솔린,2390,sonata
75,쏘나타 (DN8),2.0 LPG(렌터카용) 스마트,19/04식(20년형),50656,LPG(일반인 구입),1999,sonata
76,쏘나타 (DN8),2.0 프리미엄,19/05식(20년형),36879,가솔린,2220,sonata
77,LF 쏘나타,2.0 스마트,14/06식(15년형),76678,가솔린,1330,sonata
78,쏘나타 뉴 라이즈,LPI 택시형 프리미엄,17/08식(18년형),163848,LPG(일반인 구입),999,sonata
79,쏘나타 더 브릴리언트,LPI 프리미엄 스페셜,14/01식,101893,LPG(일반인 구입),920,sonata
80,LF 쏘나타,LPI 모던,15/11식(16년형),104832,LPG(일반인 구입),1050,sonata
