,0,1,2,3,4,5
0,그랜저 IG 하이브리드,프리미엄,19/06식,"38,266km",가솔린+전기,"2,930"
1,그랜저 IG,2.4 모던,19/01식,"67,578km",가솔린,"2,090"
2,더 뉴 그랜저 IG,2.5 프리미엄 초이스,20/02식,"41,245km",가솔린,"3,130"
3,그랜저 IG 하이브리드,익스클루시브 스페셜,18/02식,"100,997km",가솔린+전기,"2,590"
4,그랜저 IG,3.0 익스클루시브 스페셜,18/02식,"110,817km",가솔린,"1,960"
5,그랜저 HG,HG240 모던 컬렉션,16/06식(17년형),"75,378km",가솔린,"1,590"
6,더 뉴 그랜저 IG,2.5 익스클루시브,21/05식,"7,046km",가솔린,"3,630"
7,그랜저 IG,2.2 디젤 프리미엄 스페셜,18/01식,"99,143km",디젤,"2,730"
8,그랜저 IG,2.4 프리미엄,18/02식,"90,036km",가솔린,"2,099"
9,더 뉴 그랜저 IG 하이브리드,캘리그래피,21/04식,"16,249km",가솔린+전기,"4,369"
10,그랜저 IG,2.4 프리미엄,18/07식(19년형),"56,175km",가솔린,"2,450"
11,그랜저 IG,2.4 모던,18/04식,"20,970km",가솔린,"2,290"
12,그랜저 IG,2.2 디젤 프리미엄,18/02식,"87,107km",디젤,"2,150"
13,더 뉴 그랜저 IG 하이브리드,캘리그래피,21/05식(22년형),"7,055km",가솔린+전기,"4,679"
14,그랜저 IG,3.0 익스클루시브 스페셜,19/03식,"137,705km",가솔린,"1,990"
15,더 뉴 그랜저 IG,2.5 프리미엄 초이스,19/12식(20년형),"18,233km",가솔린,"3,080"
16,더 뉴 그랜저 IG 하이브리드,캘리그래피,21/08식(22년형),"21,721km",가솔린+전기,"4,490"
17,그랜저 HG,LPG HG300 이그제큐티브,12/09식,"149,166km",LPG(일반인 구입),"1,330"
18,그랜저 IG 하이브리드,프리미엄,19/06식,"38,266km",가솔린+전기,"2,930"
19,그랜저 IG,2.4 모던,19/01식,"67,578km",가솔린,"2,090"
20,그랜저 IG,3.0 모던 베이직 (렌터카),18/06식(19년형),"113,752km",가솔린,"1,670"
21,더 뉴 그랜저 IG,2.5 프리미엄 초이스,20/01식,"20,905km",가솔린,"2,800"
22,그랜저 IG,2.4 프리미엄,17/06식(18년형),"134,513km",가솔린,"1,650"
23,그랜저 IG,3.0 익스클루시브 스페셜,18/12식(19년형),"73,367km",가솔린,"2,570"
24,더 뉴 그랜저 IG 하이브리드,익스클루시브,20/01식,"49,152km",가솔린+전기,"3,729"
25,그랜저 IG,3.0 익스클루시브,18/04식,"60,743km",가솔린,"2,400"
26,더 뉴 그랜저 IG,2.5 프리미엄 초이스,20/02식,"41,245km",가솔린,"3,130"
27,그랜저 HG,LPG HG300 이그제큐티브,12/10식,"69,452km",LPG(일반인 구입),"1,330"
28,그랜저 TG,LPI Q270 모범형,06/01식,"211,732km",LPG(일반인 구입),270
29,그랜저 IG,3.0 LPi 장애인용 익스클루시브 스페셜,17/11식(18년형),"75,026km",LPG(일반인 구입),"2,530"
30,그랜저 IG,3.0 프리미엄,19/04식,"176,545km",가솔린,"1,699"
31,그랜저 IG,3.0 익스클루시브 스페셜,19/03식,"50,653km",가솔린,"2,890"
32,그랜저 IG,3.0 모던 베이직 (렌터카),17/06식(18년형),"41,452km",가솔린,"1,920"
33,그랜저 IG,3.0 LPi 모던 (렌터카),17/03식(18년형),"94,745km",LPG(일반인 구입),"1,730"
34,,,,,,
35,그랜저 IG 하이브리드,익스클루시브 스페셜,19/05식,"27,112km",가솔린+전기,"3,490"
36,그랜저 IG,3.0 LPi 장애인용 익스클루시브 스페셜,16/12식(17년형),"70,803km",LPG(일반인 구입),"2,300"
37,더 뉴 그랜저 IG,3.3 익스클루시브,20/01식,"30,381km",가솔린,"3,450"
38,그랜저 TG,Q270 디럭스 기본형,05/10식(06년형),"109,600km",가솔린,239
39,그랜저 HG,HG240 모던,13/01식,"77,406km",가솔린,"1,360"
40,그랜저 IG 하이브리드,익스클루시브 스페셜,18/02식,"100,997km",가솔린+전기,"2,590"
41,그랜저 IG,3.0 익스클루시브 스페셜,18/02식,"110,817km",가솔린,"1,960"
42,그랜저 HG,HG240 럭셔리,12/11식,"198,163km",가솔린,680
43,그랜저 뉴 럭셔리,Q270 럭셔리 기본형,09/04식,"144,912km",가솔린,290
44,그랜저 HG,HG240 모던 컬렉션,17/02식,"44,762km",가솔린,"1,450"
45,그랜저 HG,HG330 셀러브리티,14/04식,"70,847km",가솔린,"1,389"
46,그랜저 IG,2.4 프리미엄,16/11식(17년형),"110,000km",가솔린,"1,690"
47,그랜저 IG,2.4 프리미엄,18/04식,"166,335km",가솔린,"1,550"
48,더 뉴 그랜저 IG,3.0 LPi (렌터카용) 모던,20/08식,"35,629km",LPG(일반인 구입),"2,590"
49,그랜저 TG,LPI Q270 개인형,07/07식(08년형),"203,642km",LPG(일반인 구입),280
50,더 뉴 그랜저 IG,2.5 익스클루시브,20/04식,"31,772km",가솔린,"3,260"
51,더 뉴 그랜저 IG,2.5 익스클루시브,20/02식,"21,198km",가솔린,"3,380"
52,그랜저 IG 하이브리드,익스클루시브 스페셜,19/07식,"31,960km",가솔린+전기,75
